constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year
26231,936,3,151.0,3,3,0,2015
26232,936,15,22.0,8,8,0,2015
26233,936,9,96.0,4,4,0,2015
26234,936,10,39.0,5,5,0,2015
26235,936,5,31.0,7,7,0,2015
26236,936,1,17.0,9,9,0,2015
26237,936,208,35.0,6,6,0,2015
26238,936,209,0.0,10,10,0,2015
26260,938,131,451.0,1,1,10,2015
26259,937,209,0.0,10,10,0,2015
26257,937,1,17.0,9,9,0,2015
26256,937,5,35.0,7,7,0,2015
26253,937,15,23.0,8,8,0,2015
26258,937,208,50.0,5,5,0,2015
26252,937,3,161.0,3,3,0,2015
26255,937,10,49.0,6,6,0,2015
26254,937,9,108.0,4,4,0,2015
26251,937,6,242.0,2,2,2,2015
26250,937,131,426.0,1,1,9,2015
26261,938,6,270.0,2,2,2,2015
26262,938,3,188.0,3,3,0,2015
26263,938,15,25.0,8,8,0,2015
26264,938,9,113.0,4,4,0,2015
26265,938,10,63.0,5,5,0,2015
26266,938,5,35.0,7,7,0,2015
26267,938,1,17.0,9,9,0,2015
26268,938,208,50.0,6,6,0,2015
26269,938,209,0.0,10,10,0,2015
26270,939,131,463.0,1,1,10,2015
26271,939,6,310.0,2,2,3,2015
26272,939,3,198.0,3,3,0,2015
26273,939,15,26.0,8,8,0,2015
26274,939,9,139.0,4,4,0,2015
26275,939,10,69.0,5,5,0,2015
26276,939,5,41.0,7,7,0,2015
26277,939,1,17.0,9,9,0,2015
26278,939,208,50.0,6,6,0,2015
26279,939,209,0.0,10,10,0,2015
26297,940,1,17.0,9,9,0,2015
26294,940,9,139.0,4,4,0,2015
26292,940,3,208.0,3,3,0,2015
26299,940,209,0.0,10,10,0,2015
26298,940,208,60.0,6,6,0,2015
26296,940,5,44.0,7,7,0,2015
26295,940,10,77.0,5,5,0,2015
26291,940,6,337.0,2,2,3,2015
26293,940,15,26.0,8,8,0,2015
26290,940,131,506.0,1,1,11,2015
26384,941,209,0.0,10,10,0,2015
26383,941,208,66.0,6,6,0,2015
26382,941,1,19.0,9,9,0,2015
26381,941,5,45.0,7,7,0,2015
26380,941,10,92.0,5,5,0,2015
26379,941,9,149.0,4,4,0,2015
26378,941,15,34.0,8,8,0,2015
26377,941,3,220.0,3,3,0,2015
26376,941,6,359.0,2,2,3,2015
26394,942,209,0.0,10,10,0,2015
26375,941,131,531.0,1,1,12,2015
26393,942,208,70.0,6,6,0,2015
26390,942,10,102.0,5,5,0,2015
26388,942,15,36.0,8,8,0,2015
26392,942,1,27.0,9,9,0,2015
26391,942,5,63.0,7,7,0,2015
26387,942,3,220.0,3,3,0,2015
26389,942,9,150.0,4,4,0,2015
26386,942,6,374.0,2,2,3,2015
26385,942,131,574.0,1,1,13,2015
26403,943,208,71.0,6,6,0,2015
26400,943,10,112.0,5,5,0,2015
26398,943,15,36.0,8,8,0,2015
26404,943,209,0.0,10,10,0,2015
26402,943,1,27.0,9,9,0,2015
26401,943,5,65.0,7,7,0,2015
26397,943,3,243.0,3,3,0,2015
26399,943,9,172.0,4,4,0,2015
26396,943,6,374.0,2,2,3,2015
26395,943,131,617.0,1,1,14,2015
26413,944,208,76.0,6,6,0,2015
26410,944,10,120.0,5,5,0,2015
26408,944,15,36.0,8,8,0,2015
26414,944,209,0.0,10,10,0,2015
26412,944,1,27.0,9,9,0,2015
26411,944,5,67.0,7,7,0,2015
26407,944,3,253.0,3,3,0,2015
26409,944,9,178.0,4,4,0,2015
26406,944,6,401.0,2,2,3,2015
26405,944,131,660.0,1,1,15,2015
26434,945,208,78.0,6,6,0,2015
26431,945,10,136.0,5,5,0,2015
26429,945,15,36.0,8,8,0,2015
26435,945,209,0.0,10,10,0,2015
26433,945,1,27.0,9,9,0,2015
26432,945,5,67.0,7,7,0,2015
26428,945,3,257.0,3,3,0,2015
26430,945,9,187.0,4,4,0,2015
26427,945,6,428.0,2,2,3,2015
26426,945,131,703.0,1,1,16,2015
26524,955,131,258.0,1,1,7,2016
26566,948,15,0.0,10,10,0,2016
26567,948,209,0.0,11,11,0,2016
26557,948,131,43.0,1,1,1,2016
26565,948,1,0.0,9,9,0,2016
26564,948,4,0.0,8,8,0,2016
26563,948,5,3.0,7,7,0,2016
26562,948,10,6.0,6,6,0,2016
26561,948,210,8.0,5,5,0,2016
26560,948,3,14.0,3,3,0,2016
26559,948,9,12.0,4,4,0,2016
26558,948,6,15.0,2,2,0,2016
26447,949,131,83.0,1,1,2,2016
26448,949,6,33.0,2,2,0,2016
26449,949,9,30.0,3,3,0,2016
26450,949,3,20.0,4,4,0,2016
26451,949,210,18.0,5,5,0,2016
26452,949,10,6.0,7,7,0,2016
26453,949,5,11.0,6,6,0,2016
26454,949,4,0.0,9,9,0,2016
26455,949,1,1.0,8,8,0,2016
26456,949,15,0.0,10,10,0,2016
26457,949,209,0.0,11,11,0,2016
26458,950,131,114.0,1,1,3,2016
26459,950,6,61.0,2,2,0,2016
26460,950,9,57.0,3,3,0,2016
26461,950,3,29.0,4,4,0,2016
26462,950,210,18.0,5,5,0,2016
26463,950,10,6.0,7,7,0,2016
26464,950,5,17.0,6,6,0,2016
26465,950,4,0.0,9,9,0,2016
26466,950,1,1.0,8,8,0,2016
26467,950,15,0.0,10,10,0,2016
26468,950,209,0.0,11,11,0,2016
26469,951,131,157.0,1,1,4,2016
26470,951,6,76.0,2,2,0,2016
26471,951,9,57.0,3,3,0,2016
26472,951,3,51.0,4,4,0,2016
26473,951,210,22.0,5,5,0,2016
26474,951,10,8.0,8,8,0,2016
26475,951,5,17.0,6,6,0,2016
26476,951,4,6.0,9,9,0,2016
26477,951,1,10.0,7,7,0,2016
26478,951,15,0.0,10,10,0,2016
26479,951,209,0.0,11,11,0,2016
26480,952,131,157.0,1,1,4,2016
26481,952,6,109.0,2,2,0,2016
26482,952,9,94.0,3,3,1,2016
26483,952,3,65.0,4,4,0,2016
26484,952,210,22.0,6,6,0,2016
26485,952,10,14.0,7,7,0,2016
26486,952,5,26.0,5,5,0,2016
26487,952,4,6.0,9,9,0,2016
26488,952,1,12.0,8,8,0,2016
26489,952,15,0.0,10,10,0,2016
26490,952,209,0.0,11,11,0,2016
26491,953,131,188.0,1,1,5,2016
26492,953,6,121.0,2,2,0,2016
26493,953,9,112.0,3,3,1,2016
26494,953,3,66.0,4,4,0,2016
26495,953,210,22.0,8,8,0,2016
26496,953,10,37.0,5,5,0,2016
26497,953,5,30.0,6,6,0,2016
26498,953,4,6.0,9,9,0,2016
26499,953,1,24.0,7,7,0,2016
26500,953,15,0.0,10,10,0,2016
26501,953,209,0.0,11,11,0,2016
26502,954,131,223.0,1,1,6,2016
26503,954,6,147.0,2,2,0,2016
26504,954,9,130.0,3,3,1,2016
26505,954,3,81.0,4,4,0,2016
26506,954,210,22.0,8,8,0,2016
26507,954,10,42.0,5,5,0,2016
26508,954,5,32.0,6,6,0,2016
26509,954,4,6.0,9,9,0,2016
26510,954,1,24.0,7,7,0,2016
26511,954,15,0.0,10,10,0,2016
26512,954,209,0.0,11,11,0,2016
26525,955,6,177.0,2,2,0,2016
26526,955,9,140.0,3,3,1,2016
26527,955,3,90.0,4,4,0,2016
26528,955,210,22.0,8,8,0,2016
26529,955,10,59.0,5,5,0,2016
26530,955,5,32.0,6,6,0,2016
