resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
21914,890,4,6,3,5,5,5,5,10.0,70,+31.411,6180856,56,8,1:25.394,184.692,1,2013
21915,890,154,208,8,3,6,6,6,8.0,70,+52.295,6201740,54,7,1:25.328,184.834,1,2013
21916,890,18,1,5,13,7,7,7,6.0,70,+53.819,6203264,56,11,1:26.195,182.975,1,2013
21917,890,13,6,4,7,8,8,8,4.0,70,+56.447,6205892,59,5,1:25.176,185.164,1,2013
21918,890,815,1,6,9,9,9,9,2.0,69,\N,\N,59,10,1:26.143,183.086,11,2013
21919,890,813,3,16,15,10,10,10,1.0,69,\N,\N,69,9,1:25.597,184.254,11,2013
21920,890,807,15,11,12,11,11,11,0.0,69,\N,\N,58,14,1:26.740,181.826,11,2013
21921,890,818,5,18,14,12,12,12,0.0,69,\N,\N,53,12,1:26.491,182.349,11,2013
21922,890,817,5,19,8,13,13,13,0.0,69,\N,\N,58,15,1:26.863,181.568,11,2013
21923,890,823,207,21,20,14,14,14,0.0,68,\N,\N,47,17,1:27.473,180.302,12,2013
21924,890,819,207,20,19,15,15,15,0.0,68,\N,\N,54,18,1:27.725,179.784,12,2013
21925,890,824,206,22,21,16,16,16,0.0,67,\N,\N,57,20,1:28.250,178.715,13,2013
21926,890,820,206,23,22,17,17,17,0.0,67,\N,\N,65,19,1:28.160,178.897,13,2013
21927,890,814,10,14,18,18,18,18,0.0,66,\N,\N,55,13,1:26.608,182.103,9,2013
21928,890,3,131,9,4,19,19,19,0.0,64,\N,\N,62,4,1:25.089,185.354,5,2013
21929,890,822,3,17,16,\N,R,20,0.0,42,\N,\N,41,16,1:27.127,181.018,9,2013
21930,890,821,15,12,17,\N,R,21,0.0,28,\N,\N,16,22,1:29.135,176.940,7,2013
21931,890,16,10,15,11,\N,R,22,0.0,19,\N,\N,12,21,1:28.548,178.113,9,2013
21932,891,20,9,1,2,1,1,1,25.0,44,1:23:42.196,5022196,40,1,1:50.756,227.657,1,2013
21933,891,4,6,3,9,2,2,2,18.0,44,+16.869,5039065,36,4,1:51.383,226.375,1,2013
21934,891,1,131,10,1,3,3,3,15.0,44,+27.734,5049930,39,7,1:51.596,225.943,1,2013
21935,891,3,131,9,4,4,4,4,12.0,44,+29.872,5052068,39,6,1:51.582,225.971,1,2013
21936,891,17,9,2,3,5,5,5,10.0,44,+33.845,5056041,31,5,1:51.397,226.347,1,2013
21937,891,18,1,5,6,6,6,6,8.0,44,+40.794,5062990,36,2,1:50.823,227.519,1,2013
21938,891,13,6,4,10,7,7,7,6.0,44,+53.922,5076118,40,9,1:52.182,224.763,1,2013
21939,891,154,208,8,7,8,8,8,4.0,44,+55.846,5078042,34,11,1:52.497,224.133,1,2013
21940,891,16,10,15,12,9,9,9,2.0,44,+1:09.547,5091743,35,10,1:52.226,224.675,1,2013
21941,891,817,5,19,19,10,10,10,1.0,44,+1:13.470,5095666,38,3,1:50.967,227.224,1,2013
21942,891,815,1,6,13,11,11,11,0.0,44,+1:21.936,5104132,34,16,1:53.472,222.208,1,2013
21943,891,818,5,18,18,12,12,12,0.0,44,+1:26.740,5108936,29,14,1:53.065,223.008,1,2013
21944,891,807,15,11,11,13,13,13,0.0,44,+1:28.258,5110454,41,15,1:53.110,222.919,1,2013
21945,891,821,15,12,21,14,14,14,0.0,44,+1:40.436,5122632,30,8,1:51.849,225.432,1,2013
21946,891,822,3,17,20,15,15,15,0.0,44,+1:47.456,5129652,31,13,1:52.688,223.754,1,2013
21947,891,823,207,21,14,16,16,16,0.0,43,\N,\N,43,18,1:53.995,221.188,11,2013
